"Geneid","SRR1178046","SRR1178036","SRR1178020","SRR1178002","SRR1177999","SRR1177997","SRR1177989","SRR1177988","SRR1177987"
"NM_001000287",0,0,0,0,0,0,0,0,0
"NM_001000288",0,0,0,0,0,0,0,0,0
"NM_001000289",0,0,0,0,0,0,0,0,0
"NM_001000290",0,0,0,0,0,0,0,0,0
"NM_001000291",0,0,0,0,0,0,0,0,0
"NM_001000292",0,0,0,0,0,0,0,0,0
"NM_001000293",0,0,0,0,0,0,0,0,0
"NM_001000294",0,0,0,0,0,0,0,0,0
"NM_001000295",0,0,0,0,0,0,0,0,0
"NM_001000296",0,0,0,0,0,0,0,0,0
"NM_001000297",0,0,0,0,0,0,0,0,0
"NM_001000298",0,0,0,0,0,0,0,0,0
"NM_001000299",0,0,0,0,0,0,0,0,0
"NM_001000300",0,0,0,0,0,0,0,0,0
"NM_001000301",0,0,0,0,0,0,0,0,0
"NM_001000302",0,0,0,0,0,0,0,0,0
"NM_001000303",0,0,0,0,0,0,0,0,0
"NM_001000304",0,0,0,0,0,0,0,0,0
"NM_001000305",0,0,0,0,0,0,0,0,0
"NM_001000306",0,0,0,0,0,0,0,0,0
"NM_001000307",0,0,0,0,0,0,0,0,0
"NM_001000308",0,0,0,0,0,0,0,0,0
"NM_001000309",0,0,0,0,0,0,0,0,0
"NM_001000310",0,0,0,0,0,0,0,0,0
"NM_001000311",0,0,0,0,0,0,0,0,0
"NM_001000312",0,0,0,0,0,0,0,0,0
"NM_001000313",0,0,0,0,0,0,0,0,0
"NM_001000314",0,0,0,0,0,0,0,0,0
"NM_001000315",0,0,0,0,0,0,0,0,0
"NM_001000316",0,0,0,0,0,0,0,0,0
"NM_001000317",0,0,0,0,0,0,0,0,0
"NM_001000318",0,0,0,0,0,0,0,0,0
"NM_001000319",0,0,0,0,0,0,0,0,0
"NM_001000320",0,0,0,0,0,0,0,0,0
"NM_001000321",0,0,0,0,0,0,0,0,0
"NM_001000322",0,0,0,0,0,0,0,0,0
"NM_001000323",0,0,0,0,0,0,0,0,0
"NM_001000324",0,0,0,0,0,0,0,0,0
"NM_001000325",0,0,0,0,0,0,0,0,0
"NM_001000326",0,0,0,0,0,0,0,0,0
"NM_001000327",0,0,0,0,0,0,0,0,0
"NM_001000328",0,0,0,0,0,0,0,0,0
"NM_001000329",0,0,0,0,0,0,0,0,0
"NM_001000330",0,0,0,0,0,0,0,0,0
"NM_001000331",0,0,0,0,0,0,0,0,0
"NM_001000332",0,0,0,0,0,0,0,0,0
"NM_001000333",0,0,0,0,0,0,0,0,0
"NM_001000334",0,0,0,0,0,0,0,0,0
"NM_001000335",0,0,0,0,0,0,0,0,0
"NM_001000336",0,0,0,0,0,0,0,0,0
"NM_001000337",0,0,0,0,0,0,0,0,0
"NM_001000338",0,0,0,0,0,0,0,0,0
