"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001005550",3445.66129289084,-0.131770561909467,0.202626651912605,0.442628802807697,0.654089037468838
"NM_001005551",51.4331060747527,-0.0860935760265929,0.293351574276087,0.644486076358069,0.80286862153494
"NM_001005552",123.617895095632,-0.0680346722763669,0.206525856492961,0.691723611375236,0.831728896884286
"NM_001005553",600.799948497942,-0.125196512571483,0.144162724056331,0.345464521672703,0.570298062864672
"NM_001005554",6103.02646366861,0.276586847782026,0.130471864467012,0.0233459299872938,0.103497446013504
"NM_001005555",118.789009667169,0.173517841968416,0.206682054924882,0.317716942537027,0.542988150815746
"NM_001005556",840.821712308663,-0.48034002055858,0.266983725966998,0.0221946483459573,0.100307684308571
"NM_001005558",9.341434810682,0.235398774552434,0.414718122305579,0.179296922530431,0.3840971350029
"NM_001005560",10.755868588507,0.0610864366723897,0.355017497988391,0.640227304463051,0.800469291350928
"NM_001005561",822.713082636517,0.461521162912565,0.143483434070673,0.000534896527786557,0.00672098410460462
"NM_001005562",186.680662168531,0.290228294599298,0.255567041717551,0.14183039503621,0.333185474053437
"NM_001005563",361.760273205984,0.210364111838526,0.225591865552526,0.24969998899213,0.470319694708003
"NM_001005564",233.239936952647,0.242429163680096,0.301166463954841,0.238510318480772,0.456653369716211
"NM_001005565",72.8364034875804,0.0345097717463916,0.242374827098046,0.85366906883508,0.927458864282577
"NM_001005761",252.014298348957,-0.0752296086157476,0.210490883892841,0.66484511941767,0.814843849918233
"NM_001005762",646.038628275026,-0.17437068715696,0.240012081588864,0.351799107637889,0.576430611986238
"NM_001005765",1118.01322895593,0.199030373859992,0.179245346499208,0.206508882401885,0.418498605595059
"NM_001005871",26.9562053267418,-0.0333775129764964,0.291433453936154,0.853731023436595,0.927458864282577
"NM_001005872",309.92039844526,-0.0459130782681038,0.184613453770098,0.773689701107705,0.882473398766847
"NM_001005873",678.219716755074,0.330121078477063,0.191537160048606,0.0468829053143687,0.164391279103273
"NM_001005875",1295.5493792646,0.148988168713669,0.14911615682759,0.276086473280493,0.498342234482323
"NM_001005876",300.500040536138,0.426938999768052,0.234152743699838,0.0267090825304151,0.112557288022008
"NM_001005878",80.5167895333758,0.310469260027803,0.409747097530003,0.142554043352681,0.334094784152806
"NM_001005879",555.209923588072,0.280998303980095,0.200907237928663,0.100812331773606,0.269039319506641
"NM_001005881",62.0173872843562,-0.161008764696521,0.291060056948812,0.409484295036094,0.626165664634305
"NM_001005882",1019.98967777092,-0.075907464459813,0.167280845426871,0.612779805875472,0.782657936642213
"NM_001005883",849.102677037679,0.182281086183469,0.137893067543709,0.153719373156685,0.350463729555799
"NM_001005884",1467.71304224608,-0.399446194956981,0.149465516892505,0.00360603492070116,0.0281848928411854
"NM_001005886",45.653416882059,-0.0990935791837347,0.320777907497885,0.57723952283731,0.754859910641025
"NM_001005887",1165.92151211597,-0.148366656835895,0.186176417579962,0.357736516250978,0.581528215117527
"NM_001005888",111.820542992598,0.0652825869132192,0.225810991642391,0.719681461832724,0.849810952930844
"NM_001005889",6174.20667894656,-0.204074206741994,0.18873247436426,0.210211050072104,0.422214274724887
"NM_001005890",109.217170603469,0.473618752614045,0.29898985905101,0.0336384002150135,0.130943918697944
"NM_001005891",146.799303541465,0.665942976975022,0.258828881838435,0.00199377843590168,0.0181871902603262
"NM_001005892",186.88456921919,-0.0177989072644232,0.188222747939187,0.911366314189291,0.958440156577853
"NM_001005893",771.080387709843,-0.423676451968395,0.21728551346795,0.0204457111951539,0.0952011601449404
"NM_001005895",755.313262834196,-0.109466068954648,0.196776150423223,0.51219992357071,0.707838011357344
"NM_001005899",19.9354315467962,0.262164108618338,0.449056146378045,0.123117140867303,0.304214020630464
"NM_001005900",14.3021747176208,-0.107913508858132,0.313871189037853,0.555774711929058,0.740874628195994
"NM_001005901",478.596863878591,0.00657391021180598,0.163761058756553,0.96597194437752,0.982528892469319
"NM_001005902",815.56430666153,0.197218032426308,0.166989399593858,0.186997049689452,0.392908716401057
"NM_001005903",1927.43455546995,0.0497611607479325,0.118929241645276,0.660214462774336,0.813276367219425
"NM_001005905",2330.00720440261,0.426506198787796,0.205734863248729,0.0151582724824529,0.0782568213881337
"NM_001005906",429.646010271055,1.97527755203514,0.525798265691706,8.9061518461698e-06,0.000256511003005425
"NM_001005908",7983.36058576718,0.45121769306557,0.172827509602155,0.00363615804129195,0.0283391931854866
"NM_001006602",644.635910403986,-0.0964571021194659,0.161372593947168,0.504687003745192,0.702534088971666
"NM_001006954",1427.45754888465,-0.129501532508765,0.179093916619822,0.408812942573551,0.625590202030181
"NM_001006955",714.39653280157,0.113424452040054,0.215042486989808,0.522677468920074,0.715625740832387
"NM_001006956",25.3941781283422,0.389600284821424,0.556157321277142,0.0653178426773797,0.204395062539705
"NM_001006957",3703.22467799822,0.113484546202663,0.154427343104528,0.422608504835544,0.637885300566672
"NM_001006958",254.425812055775,1.02225438542093,0.521967687059167,0.00364864074429292,0.0283945793402945
"NM_001006959",145.86284343902,0.355765607774821,0.28038156660377,0.089389664892905,0.250268141273238
"NM_001006960",426.214292808749,-0.296739560332716,0.220724250517117,0.102355732831025,0.271004424534907
"NM_001006962",248.682229161388,-0.179986483095476,0.162371857004349,0.217338134974016,0.43077057465625
"NM_001006963",16044.5815749674,-0.410077701952762,0.195442739917696,0.0158230860626441,0.0804524922443591
"NM_001006964",619.374099485469,0.0482282358333093,0.19338604959031,0.772883807300744,0.881922697451857
"NM_001006965",314.82391655101,-0.0855479860522605,0.190827430817519,0.601400719152017,0.774156988478285
"NM_001006966",3488.8139211917,-0.795705810276537,0.366806822993414,0.00369399934624424,0.0285654692628141
"NM_001006967",2168.63010828776,0.214962380880614,0.158309475631279,0.133837133869592,0.320944233238771
"NM_001006968",6.77547684413597,-0.0218508376597315,0.348303627697553,0.865170163114951,0.93421999699712
"NM_001006969",1854.27699900304,-0.408860515704533,0.183435868236255,0.0114935018965457,0.0653973669663273
"NM_001006970",5810.19708423822,-0.157578794473189,0.163936956867884,0.283171886584932,0.506048089954316
"NM_001006971",311.191444997659,0.441630406204752,0.230229984094224,0.0207807478476916,0.096242934920298
"NM_001006972",2915.49454632477,-0.211173274417124,0.170321827310247,0.162319310132828,0.361264685556533
"NM_001006973",522.63044525471,0.134642341140979,0.177951991264343,0.390916657173414,0.610996132218223
"NM_001006974",338.909079096761,0.621462675557813,0.62374281599268,0.0307676981994075,0.123785002446327
"NM_001006975",179.879682468781,0.364801894362063,0.316931819067725,0.0970819740510244,0.263415130437443
"NM_001006976",4636.43925481299,-0.15459080869196,0.141358314153925,0.235754331416697,0.453044974434868
"NM_001006978",1195.63116653258,0.11152631798341,0.171046374653328,0.465584426285496,0.672271403148814
"NM_001006980",451.946575817183,0.0428543383442791,0.196000575582071,0.799369060568874,0.896682840800446
"NM_001006981",4619.48314389345,0.229613667392174,0.171582846992349,0.131920308528325,0.317696922986497
"NM_001006982",404.462650002831,-0.0365022783171941,0.174057034170015,0.810498480549876,0.902859917274444
"NM_001006983",1115.02933357793,-0.0180972528002492,0.188939063819746,0.909795785994044,0.957961445252552
"NM_001006984",307.22897659788,0.264082033517062,0.258799717194207,0.181342353542123,0.386779957292545
"NM_001006985",401.294922500897,0.147986323189579,0.151747258657395,0.285897181104926,0.509417643682227
"NM_001006986",1095.10911745361,-0.164092764437132,0.175382497387274,0.288639870727583,0.512396673150079
"NM_001006987",1567.07361594681,-0.0331932028892177,0.145801683250525,0.803459210013774,0.898869991202909
"NM_001006988",828.969602343422,-0.348599863173403,0.329571791687638,0.112399100853249,0.286363925046548
"NM_001006989",530.664703867845,-0.183412048033907,0.239587123197091,0.32804047802103,0.553746579542045
"NM_001006990",1694.22702350511,-0.673136971954942,0.188738208295365,7.72011151613695e-05,0.00144589875891423
"NM_001006991",666.959466302956,0.356556564432034,0.256709141825119,0.0754776859865692,0.224806561180401
"NM_001006992",6927.80017973542,-1.25614537085218,0.370560450804893,5.07885263071989e-05,0.00105030287641724
"NM_001006994",488.935434992767,0.378152455662332,0.216303657926424,0.0372987208215041,0.140630087241023
"NM_001006995",928.349063138139,-0.747918705797449,0.536526584546523,0.0158543268433051,0.0805553256407856
"NM_001006996",423.786805986949,0.367307358282339,0.280749966149511,0.0804269100935776,0.233310688446273
"NM_001006997",4274.06433355815,-0.341529845081705,0.261749516254199,0.0897458384944703,0.25081515498365
"NM_001006998",36.3672683354821,0.801485618128546,0.534551328509336,0.0124227236741029,0.0690925681842153
"NM_001006999",84.038730874364,-0.0890163559386445,0.231970041109255,0.624813474698683,0.790995748433034
"NM_001007000",63.0321658556391,0.197325675979335,0.253217438906785,0.306591731281349,0.53129267003032
"NM_001007001",131.535849256336,0.136221366576445,0.216129261795419,0.44400625257757,0.655057816765539
"NM_001007002",131.520354498738,-0.151384766328754,0.210738441518094,0.385776253900451,0.607220832685459
"NM_001007003",548.672967214843,0.252840991575478,0.19606298523647,0.132790071624358,0.319157999574371
"NM_001007004",1886.61084911566,-0.51487767142391,0.310007956247862,0.0247786595803557,0.107258232730448
"NM_001007005",4263.68537707726,0.650862744644767,0.268954991335534,0.00310615264726898,0.0251777638700566
